album,artist,country,label,year
Monad XVI,Rrose,Germany,Stroboscopic Artefacts,2013
The Minneapolis Sessions,Dan Zamani,UK,Missile Records,1997
Trivia Games,KNUT2010,Switzerland,thecrates,2017
Mankind 2,Johan Bacto,Sweden,Mankind,1998
Lindström EP,Edvin Wikner,Sweden,Maraton—records,2017
Amanecer,Dick Richards,Germany,Raum...musik,2002
We Are Really Sorry,Pachanga Boys,Germany,Hippie Dance,2012
Too Many Clowns [Not Enough Jokers],Various,US,Throw,1999
Frequencies,*,US,WaveTec,2006
Making A Difference Remixed,Paul Loraine,Germany,Lucidflow,2012
Too Cool For School - Part 1,Various,France,Telegraph,2005
FAARAT002,Alex & Digby,UK,FLASH AS A RAT,2014
Fabric 24,Rob Da Bank,UK,Fabric (2),2005
Hypnotizin',*,US,Sorted Records,1996
Funky Ass Music,Aquanauts,UK,Zoom Records (2),1996
1921,Aleandro,Italy,Amam,2017
Hourglass Remixes,Dave Gahan,Europe,Mute,2008
Speech Defect,Dualism (3),Canada,Archipel,2006
The Launch EP,Montreal & Maastricht Connection,Canada,Odyssey Records Montréal,1995
House Of Correction,The Mind Drum,UK,Subvert Records (2),1996
Psychic / ...Loosin' It,C-Rock,Germany,Lo-Fi Stereo,1997
The Best Of Video Releases,Various,Germany,Super 6 Records,2010
Beladin,Matt Star,Germany,Mainrecords.Ltd,2008
SSREXTRA01,*,Germany,Super 6 Records,2012
SSREXTRA07,*,Germany,Super 6 Records,2013
SSREXTRA17,*,Germany,Super 6 Records,2013
Hummel,Adam Proll,Germany,Cocoon Recordings,2006
Domino EP,Styro2000,Switzerland,Bruchstuecke,2001
La Danza,Sebastian Lutz,Germany,BigCityBeats,2008
Club Soda E.P.,Tom Ellis,France,Minibar,2008
Into The Twilight...,Dave Powers,US,Klectik,2008
Untitled,Various,US,Klectik,2007
"<a href=""/master/226559-Beat-The-Bush/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Germany,Klang Elektronik,2005
"<a class=""needs_changes"" href=""/master/697032-Time-Wave-Distortion/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Turkey,Deepnetic Records,1999
My People Are Built To Shred,Moritz Piske,Germany,Opossum Recordings,2011
Cross The Ocean,Hansen & DJ Daniel,Denmark,Tic Tac Toe Records,2006
Maisonette,Mike Vamp,Germany,Dessous Recordings,2006
M. Cap EP,Neil Landstrumm,UK,Peacefrog Records,1995
The Hard Target EP,Andrew Richley & Ryan Rivera,Germany,Analog Movement Creations,2002
"<a href=""/master/3791-Casse-Les-Frontières-Fou-Les-Têtes-En-LAir/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",UK,Mo Wax,1994
Deep Freakin',DJ Emerson,Germany,Sub Static,2006
Storm & Stress,Layo & Bushwacka!,Canada,Plus 8 Records,2011
Split EP,Alex Hasten,Germany,Microtonal Records,2008
Spartacum,Nperfectduo,Denmark,Tic Tac Toe Records,2007
Untitled,Interr-Ference,Netherlands,Bunker Records,1994
4,Radboud Mens,Netherlands,Vynalogica,2004
Busted Speaker Brew EP,Afternoon Coffee Boys,US,Clink Music,2006
Kreuzberg Krunk EP,Tony Rohr,US,Clink Music,2007
Analogue Transmission,Arjen Schat,Netherlands,Not On Label (Arjen Schat Self-released),2007
Harvest Echo (Recollections),Daniel Lui,Canada,Chair Recordings,2001
Blomma,Minilogue,Germany,Cocoon Recordings,2013
Don And Sherri,Matthew Dear,US,Ghostly International,2007
Duck & Cover E.P.,Elco Park,Germany,Force Inc. Music Works,2006
The Metronome,Robert Hood,US,M-Plant,2002
Daemmern,Toby Dreher,Germany,Perplex Recordings,2008
Geotope,Sendai,Belgium,Time To Express,2012
Mysteries We Don't Have Time To Think About,Evident (2),Slovenia,Soundhitectures,2017
Verve,Mark Broom,UK,Beard Man,2011
Ice Instinct,Piemont,Germany,Hi Freaks,2006
Blast,Florian Meindl,Germany,Trapez,2008
Holpergeist,Marcel Knopf,Germany,Mo's Ferry Prod.,2004
Kobox,Metope,Germany,Areal Records,2006
Heavy Baby,Johanna Knutsson,Germany,Klasse Recordings,2011
International Breakfast EP,Auch,Germany,Force Inc. Music Works,2000
Bodyrock EP,Wighnomy Brothers,Germany,Freude Am Tanzen,2003
Another One Drowns,Franklin De Costa,Germany,Leena Music,2008
Sirius EP,Carl Sagan,Germany,Zenit,2007
5YSYST (5 Years Of Systematic Recordings),Various,Germany,Systematic (3),2009
"<a href=""/master/202656-Redazz-EP/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Germany,Einmaleins Musik,2009
Solid State,Matter (4),Ukraine,Kvitnu,2012
Drillbit EP,Miskate,US,Foundsound,2008
Foundation,The Model,UK,Underl_ne,2008
Release It,Ambitronic,Germany,Kreislauf,2007
Snider / Make My Day,Alex Smoke,UK,Soma Quality Recordings,2006
Monday Morning Sights,Andrea Ferlin,Germany,Religio Audio,2008
Between Homer & Hamilton,Ben Nevile,Canada,Arbutus,2005
Panomeno EP,Phonogenic,Germany,Dance Electric,2006
"<a href=""/master/173999-New-Tendencies/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Croatia,Home Made Electronica,2007
Drone,Loran Valdek,Italy,N.O.I.A. Records,2009
Dooting 6.0 Selection,Various,Italy,Doot Records,2011
"Techno Crew, Volume 1",Various,France,Follow Mix Records,2010
Fuzzy Minnow EP,Mika (2),US,HiPass,1999
Descending To Zero,Dave Olson & Scott Radke,US,HiPass,1999
Absurdly Connected Machines Vol:1,JE:5,Germany,Relax 2000 Records,2010
Neapolis 2,Various,Italy,Design Music,2002
Valpo,Manziping,Germany,Yuki Yaki,2006
Second Nature,Rob Alcock & Tommy Gillard,UK,Continual,2000
Best In Peace,Drugs Made Me Smarter,Germany,Kreislauf,2007
We Go Very Well Together,*,Germany,Yuki Yaki,2008
One Of These Days,Christoph Schindling,Germany,Kreislauf,2007
Machine Hunter,Multiplex (3),Belgium,KK Traxx,1997
21,Truncate,US,Truncate,2011
Technotherapy ,Pepe Arcade,Germany,Natch Records,2013
Ique / Roc,Geoff White,Spain,Apnea,2004
Tremor EP,Daze Maxim,Germany,Kahlwild,2007
Echec & Mat,Femminielli Noir,Japan,Mind Records (6),2017
Muscle Memory EP,October,UK,Caravan Recordings,2010
Spirit,Maverick (12),US,Enlightenment Recordings,1999
My Stupid,Extrawelt,Germany,Break New Soil,2010
Counterpart EP,Donor,Spain,Miniscule,2006
Laberintos EP,Seph (2),Germany,Produkt Schallplatten,2007
Lazy Mood,M-Eject,,National Techno,2012
Winimal / Sheen Bamboo,Le Cid,France,Cink Muzik,2016
Struck,Rainer Veil,UK,Modern Love,2013
Brokedown Palace  ,Popsimonova,Netherlands,Electronic Emergencies,2015
La Cité D'En Haut EP,Reynold,Germany,Persona Records,2007
False Prophet EP,Paul Woolford,UK,Intimacy Music,2009
"<a class=""needs_changes"" href=""/master/299464-Silently/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",France,Infiné,2008
Your Light,I Love Aja !,France,Poussez!,2004
Relish,Substance,Germany,Chain Reaction,1996
Elettra EP Remixes,Maurizio Vitiello,Italy,Bauns,2010
Magnetfluss E.P.,Cio D'or,Germany,Prologue,2011
Undulaciones EP,B' n B,US,Random Access Recordings,2007
Mankind 13,Hertz & Johan Bacto,Sweden,Mankind,2002
ACHT,Marlose,Germany,Ostwind Records,2008
Responding To Dynamic DVE,Umek,Slovenia,1605 Music Therapy,2010
Calculator,The Mathematic Assassins,US,Hardwax,1996
That Hooded EP,Seph (2),Spain,11:00 a.m.,2008
The Persuasion Channel,Diego,Germany,Kanzleramt,2001
Time For Ensor,Heartthrob,Canada,M_nus,2005
"OK, Switch On",Fabrizio Maurizi,Canada,M_nus,2008
5 Years Desolat,Various,Germany,Desolat,2013
Umbel,Datensi,Germany,Elektrotribe,2009
Dogtown,Infusion,Ireland,Omnis Recordings,2009
No News Today,Argenis Brito,Germany,Mobilee,2009
Interact 001 Compilation,Various,Germany,Fantomton,2009
Numbers,Cyan341,Germany,Kreislauf,2008
Utility Plastics Vol. 11,Richard Turner,UK,Utility Plastics,2000
Kaliber 1,Kaliber,Sweden,Kaliber,2006
Chemistry Lock,Kevin Gorman,Germany,International Deejay Gigolo Records,2007
The Yellow Screen,Davy Dee,Belgium,MB Elektronics,2010
Regiment,*,UK,Corrosion Records,2000
Nostalgik.2,Plastikman,Canada,M_nus,2005
Same Sun In Your Face,Sascha Kloeber,Germany,Inclusion Records,2009
Unconditional,Damon Wild,US,Synewave,2007
Bits'n Pieces,High Tide,Germany,Punkt Music,2003
Pallette,Mauro Alpha,Germany,Boxer Recordings,2006
A New Era E.P.,Gideon (3),Ireland,FVF Records,2010
Hypokondriak / Afrika,Plastikman,Canada,M_nus,1998
Sig,Ateq,Germany,Giegling,2013
Breath Of The Gods,Progon,Germany,Salo,2001
Ferret Bite,Peter F. Spiess,Germany,Klang Elektronik,2000
Camera Obscura,Shcaa,Canada,Archipel,2016
Resins EP,Quazee,Russia,Frofac,2014
Walkabout,Optimo (2),Germany,Endless Flight,2007
Clinkology,Camea,"UK, Europe & US",Clink Music,2011
Dream Express,Intrinsic,US,Emphasis Recordings,2006
Ember,Function,UK,Sandwell District,2011
Floss,Rico Puestel,US,Wreckless recordings,2009
World Of Circle,Alex Flatner,Germany,Circle Music,2007
"Anal "" Test",Various,Poland,S.P. Records,1998
Uno-Iki-San,Various,Germany,Unoiki,2013
"<a href=""/master/251947-10-Chene/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",US,Detroit Threads Recordings,2010
Total Pure EP,Raudive,UK,Wires,2010
Connections,Various,Germany,~scape,2009
The Finger Remixes,Benny Rodrigues,Germany,Spinclub Recordings,2009
Ring Frei,Thomas Gwosdz,Germany,Kompakt,2001
Motorbalm,Simon Meredith,US,Recycled Plastics,2012
Basic Input,Jon May,Germany,tanzbar|musik,2009
Drek,Paldrame,US,Communique Records,1995
Losing Control ,Vosper,France,Meant Records,2013
Flexion,*,France,F Communications,2002
Help! I'm In Berlin EP,Miro Pajic,US,Klickhaus,2007
Bipolar,Niederflur,Germany,Niederflur Tracks,2010
Panel Trax 028 (Tested On Humans),Stanislav Tolkachev,Hungary,Panel Trax Records,2012
Past Works Vol.2,Various,Japan,elementperspective,2010
The Reflex EP,Kiko & Gino's,France,Signature By Kiko,2010
Buck! EP,*,US,Spectral Sound,2003
Imagine,*,Germany,Cocoon Recordings,2007
In D Remixed,Arandel,France,Infiné,2011
"<a class=""needs_changes"" href=""/master/696873-EX/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Europe,Mute,2014
Immer 2,Michael Mayer,Germany,Kompakt,2006
Fuse Presents Joris Voorn,Joris Voorn,Belgium,Music Man Records,2005
Family Jubilee II,DeWalta,Germany,Meander,2017
The Ineffible Plan Parts 1-3,Intonation (3),UK,Field Recordings,1995
Minyou Part A,Ben Ryser,Germany,Weave Music,2008
Boardheadz,Various,Europe,Mute Film,1991
Rich Of Madness,Collins & Behnam,Germany,PS Recordings,2007
Digits And Numbers,Digitotal,Germany,Electronic Music Events,2009
Broken Glass,KryoYmir,,Not on Label,2017
Phasing Faces Remixes,Various,Netherlands,Anagram (2),2017
Sheet One,Plastikman,US,NovaMute,1993
Speicher 72,Auntie Flo,Germany,Kompakt Extra,2012
Tone Of Finland Double,Various,Finland,Crystal Eye,2005
Cocoon Compilation F,Various,Germany,Cocoon Recordings,2006
Doiicie,Minilogue,Sweden,Minilogue,2008
‎Con-Struct,Pyrolator,Germany,Bureau B,2015
Technicolor Lover,Decimal,UK,Soma Quality Recordings,2008
Meaning,Jacek Sienkiewicz,Poland,Recognition,2000
Seeing Aliens,DJ Koze,Germany,Pampa Records,2018
Black Noise,Pantha Du Prince,UK,Rough Trade,2010
эпоха лишних музыкантов,смерть в летнюю полночь,Russia,Not On Label (Roman Zorin Self-released),2015
Crystal Polymorphs,Peter F. Spiess,Germany,Klang Elektronik,2001
Spectral Nomad,The Vision,US,Metroplex,1996
Quitior,Michal Ho,Belgium,Curle Recordings,2008
Darksider / Re[Ph]Lex,Eli Shuffle,Greece,Instruction 137,2018
Burial Grounds EP,Eidolon,Netherlands,Syndikaat Records,2006
Data Flow / Urban Code,Unknown Artist,Greece,Instruction 137,2018
Textstar,Farben,Germany,Klang Elektronik,2002
Speicher 74,HickHack,Germany,Kompakt Extra,2013
Kink Vol II,Ben Morris (2),Australia,Ministry Of Sound,2006
Cfs EP,Seuil,France,Eklo,2016
Is 5,Ambivalent,Canada,M_nus,2009
The Triad,Pantha Du Prince,UK,Rough Trade,2016
Nimphia / Knallenheid,DJ Misjah,Netherlands,X-Trax,1998
Atomic Funkster,Planetary Assault Systems,UK,Peacefrog Records,2001
Two Chords Deep,Endian,UK,Electric Minds,2011
Rundlauf Perspektiven,Various,Germany,Rundlauf Musik,2006
Skulking In The Shadow,Giorgio Gigli,Italy,Zooloft,2010
"From The Heart, It's A Start, A Work Of Art",Shinichi Atobe,UK,DDS,2017
Reaction,Brother's Yard,Germany,PV,1999
Twisted Movement / Unexpected Cure,*,France,WoW! Records (3),2007
Psychick Rhythms Vol. 1,Psychick Warriors Ov Gaia,Belgium,KK Records,1993
National Geographics,*,Belgium,KK Traxx,1998
Hyperreal,The Shamen,UK,One Little Indian,1991
A Bugged Out Mix,Hot Chip,UK,New State Recordings,2009
Die Welt Ist Klang: A Tribute To Pete Namlook,Various,US,Carpe Sonum Records,2013
Blissful EP,Gabriel Ferreira,Argentina,Miniatura Records,2008
Laconic,Alex Cortex,Germany,Source Records (2),2000
Happy Violentine,Miss Kittin,Europe,NovaMute,2005
Minimal & Electro Expeditions,Marc Ullrich (2),Germany,ZYX Music,2011
RedPurple,Thomas Schumacher,Germany,Spiel-Zeug Schallplatten,2006
"<a href=""/master/80186-Podgelism-Select-Remixes/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",US,Ghostly International,2007
Real Place EP,Minimorph,US,Unfoundsound,2009
Musick - To Play In The Club,MOTOR (2),Germany,Shitkatapult,2006
Winterkaelte / Senjor Soldjas Rmx,Rico Puestel,Germany,Dark-Noize Black,2005
Moolid The Lobster Remixes,Humeka,US,Bleepsequence,2010
Strangers EP,Vivianne Project,UK,Underl_ne,2005
Martini EP,Liberto,Germany,Cusp Records,2007
Yantra,Michaelangelo,UK,Maze,2001
Leaping Hare,Storlon,Portugal,Intension Muzic,2009
Milkshake EP2,Various,France,Minibar,2008
Straight Forward,Drastic,Germany,Salo,2000
Native Dance,*,Netherlands,Area Remote,2010
Berghain 04,Ben Klock,Germany,Ostgut Ton,2010
Contact,Tommy Four Seven,UK,Shooting Elvis,2008
Spin,Goto,Denmark,Multiplex,1995
Starchy Roots,Various,US,Next Door,2004
In The Mix - The Sound Of The 10th Season,Sven Väth,Germany,Cocoon Recordings,2009
Bada York EP,*,France,Sirius Pandi,2007
Destroyed,Soul Destroyaz,US,Synewave,1999
Skeleton,Sian (3),US,SCI + TEC Digital Audio,2009
Aufschwung Ost - Heile Welt - Die Kompilation,Various,Germany,Hörspielmusik,1997
Luna,*,Germany,Playhouse,2000
Meditation EP,D-Knox,US,Black Nation Records,1996
Untitled,Andreas Fragel,Germany,M.O.S. Mit Ohne Sound,1999
Monster Waves Revealed,Paradroid,Germany,Force Inc. Music Works,2006
Heimische Gefilde,Dominik Eulberg,Germany,Traum Schallplatten,2007
Cognitive Dissonance,Andomat 3000,Germany,Cécille Records,2008
Katapult Various Artists 2,Various,France,Karat Records,2005
Supernatural (You're So),Steve Stoll,US,Proper N.Y.C.,1999
Quinchos EP,Llydo,Switzerland,Dilek Records,2010
ODE,Unknown Artist,Switzerland,ODE,2013
Bury Me With The Fresh Wind,Alessio Mereu,Italy,Renovatio,2008
Gardens Volume One,Various,UK,Videogamemusic,2014
Like Morning In Your Eyes - Remixed,Misc.,Germany,Sender Records,2006
Pigs In Blankets EP,*,UK,Perc Trax,2010
Art Of M,Matt Star,Germany,International Freakshow,2008
126a,Various,Spain,Semantica Records,2006
This Is 01,Butane,US,alphahouse,2005
Global EP,Piekfein,Portugal,Piston Recordings,2008
Vapaa Muurari Live,Uusitalo,Germany,Force Inc. Music Works,2000
Binary Lines EP,Boophases,Spain,Passakaglia,2011
Alda EP,Various,Germany,Stock5,2006
INSIDEout,Nsound,US,M_nus,2013
"Snobs Al Rio EP ""Part One""",Gurtz,Germany,Liga Elektronika,2007
Expressions,Max Cooper,Germany,Traum Schallplatten,2010
Berg 01,Berg (15),Germany,Berg (2),2013
Dulces Paparruchas,Jaumëtic,Spain,Regular,2007
Greeneyes / Ninety Eight,Eco Tourist,US,Erotic City Communications,1998
"<a class=""needs_changes"" href=""/master/1184958-SB-Relief/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",France,Aku,2017
"<a class=""needs_changes"" href=""/master/959280-High-Line/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",UK,Metroline Limited,2014
La Primera,Signal Deluxe,Germany,Brouqade Records,2007
Bionical Clones,Stanny Franssen,Germany,Harthouse Mannheim,2005
First Talk,And.Id,Germany,Mobilee,2009
"<a class=""needs_changes"" href=""/master/435910-Rubber-Suit/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Germany,Trapez,2008
Chicks And Cuts,Tk.Kim,France,Neopren Recordings,2009
Choooose Vol 03,Various,Germany,Feiyr,2010
Delahoya - The Compilation 2010,Various,Romania,Skills Records,2010
Nylon EP,Barem,UK,Pariter,2006
It's A Family Affair,Various,UK,Planet Rhythm Records,1998
Buckets / Swantalk,Ed Davenport,Germany,liebe*detail,2006
Terminate,Pig & Dan,Germany,Cocoon Recordings,2009
Teil 1,Nass,Germany,Nummer-Schallplatten,2006
Dieheiligendreikönige,Gabriel Ananda,Germany,Tonsport,2004
The Lime Works Vol. 2,Bruno Pronsato,France,Telegraph,2005
Casual Care,Peter Van Hoesen,Belgium,Time To Express,2008
Dope On Plastic EP,Brett Longman,Germany,Highgrade Records,2009
Closed Account EP,Paul Mac,UK,Fragmented Records,1999
Herbstlichter,kAzooo,Switzerland,Realaudio,2004
Bay Of Figs,Marc Houle,Canada,M_nus,2006
Untitled,Michaelangelo,Portugal,Labrynth,2002
4U,*,Czech Republic,Article,2007
Marooned,Josh Humphrey,US,Palette Recordings,2009
Talking To Girls EP,Glimpse,UK,Hypercolour,2006
Fizheuer Zieheuer,*,Germany,Playhouse,2006
Sub Rosa vs. Kompakt,Various,Europe,Sub Rosa,1999
Doppler Effect,Keita Shinohara,Germany,Analog Movement Creations,2000
Release-1,Jeff Storm,France,Edensonic Records,2005
Electric Neighbours E:P:,Szymon Hollner,Germany,Relax 2000 Records,2010
Berghain 04 | Part II,Kevin Gorman,Germany,Ostgut Ton,2010
006,*,Greece,Material Limited,2010
JS-01(R),*,UK,JS,1998
Fabriclive 78,Illum Sphere,UK,Fabric (2),2014
San Pedro,00Zicky,Italy,Stereoseven Plus,2009
Essence 1,Sound Associates,Belgium,Music Man Records,1996
Leprous,Aon Flux,Sweden,Civic Records,2001
Audio Carl,Glitches,Italy,Defrag Sound Processing,2006
Juice,Joz,Germany,Knall Traxx,2008
Ledge,*,Germany,Raum...musik,2004
Never Better Than Late,Barem,Canada,M_nus,2007
Gate 242,Edgar de Ramon,Spain,Kiara Records,2008
Taurine On Sunday,*,Germany,Trapez,2009
Surma,Tommy Four Seven,Netherlands,Electric Deluxe,2009
Light Positive Emotions. Specially For Swaziland,Vega Stereo,Russia,Vapraksila Inc,2006
Exit Remixes,üNN,Germany,Mikrolux,2008
Make Up EP,Dario Zenker,Switzerland,Num Records,2006
Deep-X Session Vol.1,Various,Russia,Deep-X Recordings,2008
The Octopus,Marcin Czubala,Germany,Mobilee,2007
Quadrant E.P.,Quadrant,Belgium,R & S Records,1993
Breakthrough,Paul Mac,UK,Stimulus Recordings,2002
Lantau / Macao,Monolake,Germany,Chain Reaction,1997
Evaluation Compilation,Various,Germany,Unoiki,2011
Lick Rmx,Mindlab,Germany,Salo,2002
What Have We Learned,Morphosis (2),Netherlands,Morphine Records,2011
Dark Matter,*,Lithuania,Cold Tear Records,2012
Bounce EP,RezQ Sound,Mexico,Xela Digital,2013
Radio Transmission EP,Sleeparchive,Germany,Sleeparchive,2006
The Art Of Peace,Kozmic Niggah,Sweden,Hybrid,1996
Select And Bounce,GummiHz,Germany,Mobilee,2006
Crust Cloud Chunks Remixes,Cristian Vogel,Germany,Snork Enterprises,2009
Sara,###,Germany,Feinwerk,2007
Black Angel,Hallucinator,Germany,Chain Reaction,1999
East Side Scientific EP,John Selway,US,CSM,2003
Tac.Mi.Tek.,Schockierender,Russia,Deep-X Recordings,2008
Ruanda,Larsson (2),Germany,Rotary Cocktail Recordings,2008
Therapie,*,Germany,Disko B,1994
Gomit Shin,Decoy Linzatti,Sweden,Stockholm Ltd,2007
Volume 3,Space Explorers,Netherlands,Shadow Fax,2006
Passfahrt,Styro2000,Switzerland,Motoguzzi Records,2007
Conclusiones (Live),Asférico,Spain,Not On Label,2006
Square One,Troy Pierce,Canada,M_nus,2010
M.O.O.N E.P.,*,,Not On Label,2011
Techniques Of Hospitality EP,Hansen & DJ Daniel,Denmark,Tic Tac Toe Records,2005
Neurotika EP,Twerk,Germany,Force Inc. Music Works,2000
Don't Poison A Sleeping Dog,*,Italy,Casbah Rec!,2008
Versions,John Selway,US,CSM,1999
Collage,Alex Under,Canada,Plus 8 Records,2006
Live At Glade Album Sampler,Spektre,UK,Veryverywrongindeed Recordings,2008
Stalkers Groove,Boogie Drama,Germany,Was Not Was,2004
Karmarouge Noir Six,Pablo Akaros,Germany,Karmarouge Noir,2006
Watercolour,Marco Resmann,Germany,Mobilee,2007
Dr. Kneep,Juan Sanchez (3),Germany,Break New Soil,2009
Moved To Love EP,Romano Alfieri,Germany,Break New Soil,2009
The Menu - Part 1,Fresh Fried,Germany,Level Non Zero,2008
Serial Cleaner,The Backlash,Belgium,Surprise Records,2005
Estructuras Primarias,Gauss,Spain,Stereophonic Elefant Dance Recordings,1997
